"town","address","tower_type","height","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"Avon","** Darling Drive","rooftop",,,,,,,,,,
"Bethel","*** Greenwood Avenue","rooftop","36",,,,,,,,,
"Darien","** Chestnut Street","water tank",,"Verizon @ 88.5'","AT&T @ 87'",,,,,,,
"Guilford","** Park Street","self-supporting lattice","100'",,,,,,,,,
"Hartford","** Church Street","rooftop",,,,,,,,,,
"Monroe","* Fan Hill Road","monopole","120","town @ var. hts.",,,,,,,,
"Norwich","** Church Street","rooftop",,,,,,,,,,
"Rocky Hill","**** Trout Brook Crossing","in-building DAS",,"T-Mobile @ 0'",,,,,,,,
"Stamford","*** Long Ridge Road","in-building","in-building","Cingular (in-building)",,,,,,,,
"West Hartford","*** Park Avenue","rooftop",,"Verizon @ 43'",,,,,,,,
"Glastonbury","**** New London Tpke.","tower","100'",,,,,,,,,
"Hartford","**** Main Sreet","rooftop small cell","80","Verizon @ 85'",,,,,,,,
"West Haven","***-*** Orange Avenue","smokestack",,"Nextel @ 74'","Verizon @ 84'",,,,,,,
"New Haven","*** Grand Avenue","steeple","59'","Nextel @ 59'",,,,,,,,
"Mansfield","North Eagleville Rd","self-supporting lattice","80","dps @ 65'","Cingular @ 80'/108'","T-Mobile @ 66.5'",,,,,,
"Plainville","Northwest Drive","utility pole","37","Verizon @ 37'",,,,,,,,
"Norwalk","* Selleck Street","rooftop",,"Verizon @ 90'",,,,,,,,
"Hamden","***-*** Putnam Avenue","rooftop",,"T-Mobile @ 119'","Sprint @ 89'",,,,,,,
"Stamford","** Bank Street","rooftop",,"T-Mobile @ 78'",,,,,,,,
"New Haven","*** Frank Street","utility pole","25","AT&T @ 24'",,,,,,,,
"Simsbury","*** Bushy Hill Road","utility pole","37","Verizon @ 37'",,,,,,,,
"Waterbury","*** Bishop Street","small cell","62","Verizon @ 69.8'","T-Mobile @ 96'","Sprint/Nextel @ 73' & 69'",,,,,,
"Newtown","** Berkshire Road, Route **","monopole","185","Cingular @ 177'","Verizon @ 185'","Sprint @ 165'","Nextel @ 150'","T-Mobile @ 145'","skytel @ 155'","MetroPCS @ 135'","DISH @ 135'",
"Glastonbury","*** Main Street","utility pole","29","Verizon @ 29.75'",,,,,,,,
"Manchester","*** Birch Mountain Road","water tower",,"Sprint @ 61'","Cingular/AT&T ?","Verizon @ ?",,,,,,
"Norwalk","** Fairview Ave","building mount","67","cablevision @ 73'",,,,,,,,
"Danbury","** Hospital Avenue","rooftop","185","Cingular @ 125'","Sprint @ 131'","T-Mobile @ 82/127/154'","Verizon @ 209'",,,,,
"New London","*** Colman Street","rooftop","134'",,,,,,,,,
"Bridgeport","*** Broadbridge Road","flagpole","100","Verizon @ 92 & 82'",,,,,,,,
"Naugatuck","East Side Blvd/** Peach Orchard Road - Prospect","guyed lattice","200","clearwire @ 180'","MetroPCS @ 170'","Verizon @ 155'",,,,,,
"Montville","Cook Drive","water tank","235'",,,,,,,,,
"Windham","*** Mansfield Avenue","utility pole","33","Verizon @ 33'",,,,,,,,
"Windsor","*** Rainbow Road","monopole","101'","Cingular @ 93'","Dish @ 65","T-Mobile @ 55'",,,,,,
"Wolcott","East St. & Rt. *** intersection","self-supporting lattice","120","dps @ 120'",,,,,,,,
"Branford","*** West Main St","monopole","130","Verizon @ 110'","Cingular/AT&T @ 100'","T-Mobile @ 130'","Sprint/Nextel @ 120",,,,,
"Windsor Locks","* Choice Road","utility pole","39","Verizon @ 39'",,,,,,,,
"Waterbury","*** Mattatuck Heights Rd","monopole","133","Verizon @ 110'","Nextel @ 120'","T-Mobile @ 100'","Dish @ 120'",,,,,
"Waterford","** Fargo Rd","monopole","183","Verizon @ 172.5'","T-Mobile @ 151'","Cingular/AT&T @ 163'","Dish @ 183'",,,,,
"Norwalk","West Cedar Street","utility pole","36","Verizon @ 36.9'",,,,,,,,
"Union","**** Buckley Highway","self-supporting lattice","168","Verizon @ 150'","Sprint @ 130'","Cingular/AT&T @ 120'","Dish @ 105'",,,,,
"Redding","** Great Oak Lane","stealth monopole","180","AT&T @ 167' & 177'","Verizon @ 148'","DISH @ 129'",,,,,,
"Waterbury","** Johnson Street","rooftop",,,,,,,,,,
"Southington","Rahlene Drive","power mount","91","Nextel @ 111'",,,,,,,,
"Torrington","*** Prospect St","building mount","45","AT&T @ 53'",,,,,,,,
"Willington","** Cosgrove Rd","self-supporting lattice","140","Verizon @ 140'","T-Mobile @ 125'","Nextel @ 115'","T-Mobile @ 101'","Dish @ 114'",,,,
"East Hartford","Riverside Drive","utlity pole","24'","Verizon @ 24'",,,,,,,,
"Orange","Ogg Meadow Road","monopole","160","metricom @ 70'","xm @ 105'(ant)/50'(dish)","Sprint @ 136'","Verizon @ 80'/161'","Cingular @ 146'","Nextel @ 117'","Dish @ 117'",,
"Middlefield","*** Meriden Road","monopole","152","Verizon @ 150'","Cingular/AT&T @ 130'","T-Mobile @ 137'",,,,,,
"Danbury","** Federal Road (aka *** Federal)","hotel sign",,"Nextel @ 72'","T-Mobile @ 80'",,,,,,,
"Somers","Shenipsit State Forest (Soapstone Mountain)","self-supporting lattice","60","dps @ ?",,,,,,,,
"New Canaan","** Pine Street","utility pole","37","Verizon @ 37'",,,,,,,,
"Hartford","* Clark Street","steeple",,"T-Mobile @ 64'",,,,,,,,
"Hartford","*** Main Street","rooftop",,"T-Mobile @ 181'",,,,,,,,
"Cromwell","** Glenwood Terrace","utility pole","30","Verizon @ 29.5'",,,,,,,,
"Glastonbury","Birch Mtn Rd","self-supporting lattice","120","dps/dep/oem @ 117'","Dish @ 134",,,,,,,
"Manchester","*** Progress Drive","rooftop",,"Sprint",,,,,,,,
"Brooklyn","*** Tatnic Hill Road","monopole","175","Verizon @ 178'","T-Mobile @ 140'","Dish @ 110'",,,,,,
"Sterling","Ekonk Hill Rd","self-supporting lattice","140","necs @ 65'","dps @ 140'","quin. Valley emerg @ 80'","T-Mobile @ 110'",,,,,
"Hartford","*** Woodland Street","rooftop","80'","Cingular @ 80'",,,,,,,,
"Stamford","** Commerce Road","rooftop",,,,,,,,,,
"New Haven","*** Fountain Street","rooftop",,"Sprint @ 98'",,,,,,,,
"East Windsor","** Chamberlain Road","monopole","120","Verizon @ 115'",,,,,,,,
"Stamford","*** West Main St","building mount","90","Verizon @ 75.1'","T-Mobile @ 60'",,,,,,,
"Meriden","*** Preston Ave","building mount","23","dps @ ?",,,,,,,,
"Lebanon","*** Waterman Road","wood pole","40","Verizon @ 36.8",,,,,,,,
"Tolland","** Industrial Park Road E","rooftop guyed lattice","105'",,,,,,,,,
"East Hartford","*** School Street","smokestack",,"T-Mobile @ 98'",,,,,,,,
"Brookfield","** Vale Road","monopole","165","AT&T @161'",,,,,,,,
"Killingly","*** Mechanic Street","rooftop monopole","79","Eversource @ 77'",,,,,,,,
"Andover","Hebron Road","power mount","82","Cingular/AT&T @ 82'",,,,,,,,
"Montville","*** Route **","rooftop","65'",,,,,,,,,
"Windsor Locks","** King Spring Rd","self-supporting lattice","100","continental catv @ 100'","Cingular/AT&T @ 100'",,,,,,,
"Hamden","Talmadge Road","guyed lattice","907","Sprint @ 200.6","DRW NX @ 650'",,,,,,,
"Essex","* (**) Main Street (Bringham Hill Road)","water tank",,"Cingular @ 107'","Verizon @ 105'","Sprint @ 118'",,,,,,
"Greenich","ROW along Davis Avenue between the Metro-North Railroad and I-** right-of-way","Utility pole","43","AT&T @ 42'",,,,,,,,
"Stamford","*** High Ridge Road","utility pole","37","Verizon @ 37'",,,,,,,,
"New Haven","*** Forbes Ave","monopole","86","Sprint @ 67.5'","T-Mobile @ 58'","MetroPCS @ 76.5'","clearwire @ 85'",,,,,
"Suffield","**** Mountain","monopole","192","Cingular/AT&T @ 175'","T-Mobile @ 182'","Nextel @ 192'",,,,,,
"Stratford","*** Huntington Road","steeple",,"T-Mobile @ 59'",,,,,,,,
"Bloomfield","** Burr Road","monopole","140","T-Mobile @ 127'","Verizon @ 117'","MetroPCS @ 137'","clearwire @ 97'","AT&T @ 107'",,,,
"Old Saybrook","*** Main Street","utility pole","37","Verizon @ 37'",,,,,,,,
"Wilton","*** School Road","monopole","123'","Verizon @ 120'",,,,,,,,
"Old Saybrook","** Main Street","small cell","22","Verizon @ 32'",,,,,,,,
"Middletown","** Industrial Park Road","monopole","185","Cingular @ 173'","T-Mobile @ 185'","Verizon @ 155'","Dish @ 165",,,,,
"Sharon","** Herb Road","monopole","110","Cingular @ 92'","state police @ 90'","Nextel @ 117'","T-Mobile @ 84'",,,,,
"East Haven","*** Foxon Road","other (flagpole)","100","Sprint @97'","T-Mobile @ 87'","Verizon @ 77'",,,,,,
"Danbury","** North Street","rooftop",,"MetroPCS @ 54'",,,,,,,,
"Wethersfield","** Kelleher Court","monopole","180","Cingular/AT&T @ 145'","Verizon @ 130'","Sprint @ 163'","Nextel @ 80'","T-Mobile @ 151'","DISh @ 110'",,,
"Woodbridge","**** Johnson Rd/**** Racebrook Road","monopole","150","town @ 150'","Nextel @ 117'","Verizon @ 127'","Cingular @ 102'","T-Mobile @ 138'",,,,
"Stamford","*** First Stamford Place","rooftop",,"Verizon @ 101'","MetroPCS @ 89'","Sprint @ 99'",,,,,,
"Naugatuck","**** New Haven Road","rooftop","62.5'","Cingular @ 43'","T-Mobile @ 65'","Verizon @ 51'",,,,,,
"Waterbury","*** Hamilton Avenue","rooftop",,"Verizon @ 27'",,,,,,,,
"South Windsor","**** Sullivan Avenue","rooftop","90'",,,,,,,,,
"Litchfield","*** Bantam Rd.(RT ***)","self-supporting lattice","180","T-Mobile @ 165'","lcd @ 120'","Sprint @ 170'","dps @ 177'","Cingular @ 160'",,,,
"Bridgeport","**** Noble Ave","flagpole","120","Nextel @ 89.5, 84.5","T-Mobile @ 107, 117'","Sprint/Nextel @ 96'","Dish @ 86'",,,,,
"New Britain","** Spring Street","rooftop",,"Sprint @ 73'",,,,,,,,
"East Windsor","*** Prospect Hill Road","tower","150'",,,,,,,,,
"Windsor","*** Matianuck Ave","monopole","100","Verizon @ 100'","clearwire @ 85'","AT&T @ 75'",,,,,,
"Fairfield","*** Woodhouse Rd","monopole","171","Verizon @ 158'","Cingular @ 144'","T-Mobile @ 138'","Cingular/AT&T @ 170'","pagenet @ 118'","ardis @ 119'","merticom @ 100'","xm 128' (ant)/75' (dish)","DISH @ 166"
"Guilford","*** Granite Road","monopole","110","Cingular @ 100'","Verizon @ 107'","MetroPCS @ 90'","Dish @ 77'",,,,,
"Stratford","Main Street","utility pole","37","Verizon @ 37.5'",,,,,,,,
"Manchester","** Church Street","steeple",,"Sprint @ 63'",,,,,,,,
"Westbrook","*** Essex Road","utility pole","27","Verizon @ 27'",,,,,,,,
"Waterbury","*** Union Street","in-building IP access",,"T-Mobile",,,,,,,,
"Plymouth","*** (***) North St.","monopole","187","Cingular @ 187'","dps @ 160'",,,,,,,
"Newtown","*** South Main St.","monopole","150","T-Mobile @ 140'",,,,,,,,
"Branford","*** North Main St","monopole","150","metricom @ 135'","Cingular @ 110'","pagenet @ 95'","Nextel @ 135'","tmobile @ 125'","MetroPCS @ 157'","DISH@136'",,
"Waterbury","*** (***) Garden Hill Circle","guyed lattice","280","T-Mobile @ 180'","Sprint/Nextel @ 130'","cl&p @ var.","Dish @ 192'",,,,,
"Wilton","** Danbury Road","rooftop",,"T-Mobile @ 86'",,,,,,,,
"Greenwich","Bruce Mem Golf Course/King St","self-supporting lattice","100","Verizon @ 100'",,,,,,,,
"Groton","Eastern Point Road - Pfizer","rooftop",,"Nextel @ 76'",,,,,,,,
"New Haven","** Prince Street","rooftop",,"Sprint @ 75'",,,,,,,,
"Stamford","** Knapp Street","rooftop",,"Verizon @ 66'","T-Mobile @ 73'",,,,,,,
"Bristol","*** Queen Street","utility pole","31","Verizon @ 31'",,,,,,,,
"Cheshire","*** South Main Street","utility pole","25","Verizon @ 24.5'",,,,,,,,
"Westport","*** Post Road East","in building",,"T-Mobile @ 0'",,,,,,,,
"Meriden","** Michael Drive","self-supporting lattice","120","clearwire @ 110'",,,,,,,,
"Norwich","*** Water Street","rooftop","15'","Cingular @ 60'",,,,,,,,
"Wallingford","** Masonic Avenue","small cell","57","Verizon @ 60'",,,,,,,,
"North Haven","*** Washington Ave","monopole","120","Verizon @ 120'","Sprint @ 104'; 117'","Dish @ 95'",,,,,,
"Stamford","One Omega Drive","in-building IP access",,"T-Mobile",,,,,,,,
"Prospect","*** New Haven Rd, Kluge Rd","monopole","160","Cingular @ 158'","Verizon @ 135'",,,,,,,
"Manchester","Olcott St.","self-supporting lattice","200","Sprint @ 120'","Verizon @ 115'",,,,,,,
"Newtown","* Park Lane","power mount","82'","T-Mobile @ 97'",,,,,,,,
"North Branford","** Parsonage Hill Rd","guyed lattice tower","300","clearwire @ 130'","Dish @ 162'",,,,,,,
"Colchester","*** Davidson Road","monopole","180'",,,,,,,,,
"Oxford","** Quaker Farms Road","monopole","150","Cingular @ 137'","Verizon @ 120'","T-Mobile @ 129'","DISH @ 111'",,,,,
"Stratford","** Sidney Street","billboard","65'","T-Mobile @ 60'","Verizon @ 67.9'","MetroPCS @ 58'",,,,,,
"Wethersfield","*** Silas Deane Highway","steeple",,"T-Mobile @ 45'",,,,,,,,
"Groton","*** Sandy Hollow Road","monopole","130","T-Mobile @ 127'","MetroPCS @ 117'","Verizon @ 117'","Dish @ 107'",,,,,
"Meriden","*** Chamberlain Highway","rooftop",,"Verizon @ 39'",,,,,,,,
"Old Saybrook","* Old Boston Post Road","utility pole","36","Verizon @ 36'",,,,,,,,
"Trumbull","** Quail Trail","power mount","95","T-Mobile @ 105'",,,,,,,,
"Ansonia","** South Cliff Street","church steeple",,"T-Mobile @ 92'",,,,,,,,
"Simsbury","*** Hopmeadow Road","self-supporting lattice","140","Cingular/AT&T @ 118'",,,,,,,,
"Hartford","*** Brainard Road","monopole","98","Cingular @ 98'","Verizon @ 88'","clearwire @ 78'","T-Mobile @78'",,,,,
"New Britain","Mill Street","utility pole","25","Verizon @ 25.4'",,,,,,,,
"East Hampton","** East High St","monopole","120","Verizon @ 105'","Cingular/AT&T @ 85'","Cingular @ 95'","Nextel @ 113'","T-Mobile @ 82'",,,,
"Bridgeport","Soundview Avenue","utility pole","36","Verizon @ 36'",,,,,,,,
"Waterbury","*** Whitewood Road","power mount","105","AT&T @ 105'",,,,,,,,
"Wilton","** Old Danbury Rd (Wilton RR Stn)","power mount","124","T-Mobile @ 119'",,,,,,,,
"Brooklyn","*** Tatnic Hill Rd","guyed lattice","80","Cingular @ 114'; 80'",,,,,,,,
"Plainville","** Sparks Street","monopole","125","Nextel @ 105'","Cingular @ 115'","MetroPCS @ 92'","Dish @ 103'",,,,,
"Waterbury","*** Hillside Avenue","rooftop",,"T-Mobile @ 106'",,,,,,,,
"Milford","*** Old Gate Road","monopole","120","Sprint/Nextel @ 120'","clearwire @ 120'","Verizon @ 100'","AT&T @ 83'",,,,,
"Danbury","** Lake Avenue Extension","rooftop",,"Verizon @ 48'",,,,,,,,
"New Haven","** Water Street","rooftop",,"Nextel @ 71.5'","Verizon @ 75'",,,,,,,
"Hartford","**** Park Street","rooftop",,"Sprint @ 40'",,,,,,,,
"East Haddam","** Haywardville Road","monopole","180","AT&T @ 177'","T-Mobile @ 160'",,,,,,,
"Glastonbury","**** Main Street","utility pole","29","Verizon @ 29'",,,,,,,,
"East Lyme","Nehantic Drive","utility pole","26","Verizon @ 26'",,,,,,,,
"Woodstock","*** Lebanon Hill Road","monopole","280","DISh @ 206'",,,,,,,,
"Tolland","*** Old Post Road","guyed lattice","150","Sprint @ 147'","AT&T @ 126'","T-Mobile @ 115'","Dish @ 113'",,,,,
"Southington","*** Center Street (Factory Square) (** West Center St)","rooftop",,"Verizon @ 48'","AT&T @ 69'",,,,,,,
"Old Lyme","*** Shore Road","monopole","110","T-Mobile @ 100'","AT&T @ 109'","Verizon @ 90'",,,,,,
"Farmington","**** New Britain Avenue","rooftop",,"T-Mobile @ 53'",,,,,,,,
"Shelton","Lane Street","monopine","120","Verizon @ 120'","dish @ 105'",,,,,,,
"Chaplin","*** Davis Road","monopole","162' 6""","Nextel @ 173'","Sprint @ 165'","Verizon @ 155'",,,,,,
"Greenwich","Off Station Dr","monopole","140","T-Mobile @ 162'",,,,,,,,
"New Haven","** Whalley Avenue","rooftop",,"new Cingular @ 92'","MetroPCS @ 120'",,,,,,,
"Bristol","*** Willis St","monopole","120","MetroPCS @ 100'","AT&T @ 124'",,,,,,,
"Farmington","Scott Swamp Road","utility pole","25","Verizon @ 25'",,,,,,,,
"North Haven","** Broadway","utility pole","37","Verizon @ 37'",,,,,,,,
"Mansfield","** Storrs Road","in-building IP access",,"T-Mobile",,,,,,,,
"Hartford","*** Summit Street","rooftop/faux chimney","77","Verizon @ 73'",,,,,,,,
"Montville","*** Pennsylvania Avenue","monopole",,"Nextel @ 179'",,,,,,,,
"Norwalk","** Prospect Street","utility pole","36","AT&T @ 36'",,,,,,,,
"Norwalk","** Willard Road","self-supporting lattice","350","Cingular @ 347'","Sprint @ 240'","AT&T/skytel @ 370'/200'","pagenet @ 350'","T-Mobile @ 262'","ardis @ 354.5'","greater norwalk radio @ 350'","MetroPCS newyork @ 230'","mediaflo @ 294'"
"Ansonia","** Birchwood Drive","gl","60","MetroPCS @ 55.5'",,,,,,,,
"West Haven","*** Oak Street","rooftop",,"Cingular @ 110'","Sprint @ 98'","Verizon @ 126'",,,,,,
"Shelton","** Daybreak Lane","power mount","72","Cingular @ 102'",,,,,,,,
